Matrix strength (MPa),Fiber contents (vol.%),Fiber length (mm),Fiber diameter (mm),Fiber index (%),Width of specimen (mm),Depth of specimen (mm),Span length (mm),Concrete age (day),Flexural strength (MPa),References,,List of references for this database,,,
71.69,0,0,0,0,40,40,120,28,10.41,,,,,,
71.69,0,0,0,0,100,100,300,28,7.42,,,,,,
71.69,0,0,0,0,100,100,300,28,7.42,,,,,,
71.69,0,0,0,0,100,100,300,28,7.36,,,,,,
71.69,0,0,0,0,100,100,300,28,7.4,,,,,,
71.69,0,0,0,0,150,150,450,28,2.71,,,,,,
71.69,0,0,0,0,150,150,450,28,4.12,,,,,,
71.69,0,0,0,0,150,150,450,28,3.63,,,,,,
71.69,0,0,0,0,150,150,450,28,3.49,,,,,,
150,2,13,0.2,130,30,150,500,28,20,[12],,,,,
150,2,13,0.2,130,30,150,500,28,28,,,,,,
150,2,13,0.2,130,30,150,500,28,28,,,,,,
150,2,13,0.2,130,30,150,500,28,22.32,,,,,,
150,2,13,0.2,130,60,150,500,28,16.8,,,,,,
150,2,13,0.2,130,60,150,500,28,21,,,,,,
150,2,13,0.2,130,60,150,500,28,23,,,,,,
150,2,13,0.2,130,60,150,500,28,20.27,,,,,,
150,2,13,0.2,130,90,150,500,28,20.53,,,,,,
150,2,13,0.2,130,90,150,500,28,19.82,,,,,,
150,2,13,0.2,130,90,150,500,28,18.4,,,,,,
150,2,13,0.2,130,90,150,500,28,20.48,,,,,,
150,2,13,0.2,130,120,150,500,28,18.4,,,,,,
150,2,13,0.2,130,120,150,500,28,22.8,,,,,,
150,2,13,0.2,130,120,150,500,28,19.9,,,,,,
150,2,13,0.2,130,120,150,500,28,20.11,,,,,,
150,2,13,0.2,130,150,150,500,28,20.9,,,,,,
150,2,13,0.2,130,150,150,500,28,19.68,,,,,,
150,2,13,0.2,130,150,150,500,28,17.15,,,,,,
150,2,13,0.2,130,150,150,500,28,19.76,,,,,,
155.55,4,13,0.16,325,25,60,180,28,33.45,[13],,,,,
